"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00014739","BOSTON, MA US","2021-01-01","0.10","0.0","34","36","29"
"USW00014739","BOSTON, MA US","2021-01-02","0.41","0.0","39","42","32"
"USW00014739","BOSTON, MA US","2021-01-03","0.03","0.2","33","36","29"
"USW00014739","BOSTON, MA US","2021-01-04","0.00","0.0","34","39","31"
"USW00014739","BOSTON, MA US","2021-01-05","0.01","0.0","32","33","30"
"USW00014739","BOSTON, MA US","2021-01-06","0.00","0.0","33","40","30"
"USW00014739","BOSTON, MA US","2021-01-07","0.00","0.0","34","42","29"
"USW00014739","BOSTON, MA US","2021-01-08","0.00","0.0","32","41","26"
"USW00014739","BOSTON, MA US","2021-01-09","0.00","0.0","29","36","24"
"USW00014739","BOSTON, MA US","2021-01-10","0.00","0.0","33","41","27"
"USW00014739","BOSTON, MA US","2021-01-11","0.00","0.0","31","36","24"
"USW00014739","BOSTON, MA US","2021-01-12","0.00","0.0","33","42","27"
"USW00014739","BOSTON, MA US","2021-01-13","0.00","0.0","35","40","31"
"USW00014739","BOSTON, MA US","2021-01-14","0.10","0.0","35","39","31"
"USW00014739","BOSTON, MA US","2021-01-15","0.00","0.0","36","41","33"
"USW00014739","BOSTON, MA US","2021-01-16","1.03","0.0","42","52","37"
"USW00014739","BOSTON, MA US","2021-01-17","0.00","0.0","39","43","34"
"USW00014739","BOSTON, MA US","2021-01-18","0.00","0.0","40","45","31"
"USW00014739","BOSTON, MA US","2021-01-19","0.00","0.0","33","41","27"
"USW00014739","BOSTON, MA US","2021-01-20","0.00","0.0","34","38","25"
"USW00014739","BOSTON, MA US","2021-01-21","0.00","0.1","26","32","21"
"USW00014739","BOSTON, MA US","2021-01-22","0.00","0.0","35","43","30"
"USW00014739","BOSTON, MA US","2021-01-23","0.00","0.0","31","34","17"
"USW00014739","BOSTON, MA US","2021-01-24","0.00","0.0","22","31","16"
"USW00014739","BOSTON, MA US","2021-01-25","0.00","0.0","26","36","19"
"USW00014739","BOSTON, MA US","2021-01-26","0.22","3.6","28","35","22"
"USW00014739","BOSTON, MA US","2021-01-27","0.07","1.0","30","36","28"
"USW00014739","BOSTON, MA US","2021-01-28","0.05","0.9","31","33","16"
"USW00014739","BOSTON, MA US","2021-01-29","0.00","0.0","15","18","7"
"USW00014739","BOSTON, MA US","2021-01-30","0.00","0.0","13","20","8"
"USW00014739","BOSTON, MA US","2021-01-31","0.00","0.0","14","23","7"
"USW00014739","BOSTON, MA US","2021-02-01","0.69","1.2","27","35","22"
"USW00014739","BOSTON, MA US","2021-02-02","0.20","0.0","32","40","30"
"USW00014739","BOSTON, MA US","2021-02-03","0.00","0.0","31","34","28"
"USW00014739","BOSTON, MA US","2021-02-04","0.01","0.1","33","37","29"
"USW00014739","BOSTON, MA US","2021-02-05","0.01","0.0","32","41","26"
"USW00014739","BOSTON, MA US","2021-02-06","0.00","0.0","36","42","30"
"USW00014739","BOSTON, MA US","2021-02-07","0.44","5.3","32","37","26"
"USW00014739","BOSTON, MA US","2021-02-08","0.00","0.0","25","29","19"
"USW00014739","BOSTON, MA US","2021-02-09","0.17","3.0","24","27","21"
"USW00014739","BOSTON, MA US","2021-02-10","0.00","0.0","25","31","20"
"USW00014739","BOSTON, MA US","2021-02-11","0.00","0.0","25","30","19"
"USW00014739","BOSTON, MA US","2021-02-12","0.00","0.0","19","27","11"
"USW00014739","BOSTON, MA US","2021-02-13","0.00","0.0","23","29","17"
"USW00014739","BOSTON, MA US","2021-02-14","0.00","0.0","29","33","26"
"USW00014739","BOSTON, MA US","2021-02-15","0.03","0.0","31","32","27"
"USW00014739","BOSTON, MA US","2021-02-16","0.63","0.0","33","40","30"
"USW00014739","BOSTON, MA US","2021-02-17","0.00","0.0","29","32","23"
"USW00014739","BOSTON, MA US","2021-02-18","0.09","0.9","27","31","24"
"USW00014739","BOSTON, MA US","2021-02-19","0.43","4.8","28","30","25"
"USW00014739","BOSTON, MA US","2021-02-20","0.00","0.0","27","31","23"
"USW00014739","BOSTON, MA US","2021-02-21","0.00","0.0","26","33","19"
"USW00014739","BOSTON, MA US","2021-02-22","0.16","0.0","29","40","19"
"USW00014739","BOSTON, MA US","2021-02-23","0.00","0.0","38","43","34"
"USW00014739","BOSTON, MA US","2021-02-24","0.00","0.0","42","50","37"
"USW00014739","BOSTON, MA US","2021-02-25","0.00","0.0","44","47","33"
"USW00014739","BOSTON, MA US","2021-02-26","0.00","0.0","33","40","28"
"USW00014739","BOSTON, MA US","2021-02-27","0.17","0.0","35","47","30"
"USW00014739","BOSTON, MA US","2021-02-28","0.02","0.0","40","44","36"
"USW00014739","BOSTON, MA US","2021-03-01","0.18","0.0","39","44","26"
"USW00014739","BOSTON, MA US","2021-03-02","0.00","0.0","23","28","13"
"USW00014739","BOSTON, MA US","2021-03-03","0.00","0.0","33","50","23"
"USW00014739","BOSTON, MA US","2021-03-04","0.00","0.0","39","43","27"
"USW00014739","BOSTON, MA US","2021-03-05","0.00","0.0","29","36","24"
"USW00014739","BOSTON, MA US","2021-03-06","0.00","0.0","29","36","22"
"USW00014739","BOSTON, MA US","2021-03-07","0.00","0.0","29","38","22"
"USW00014739","BOSTON, MA US","2021-03-08","0.00","0.0","32","38","25"
"USW00014739","BOSTON, MA US","2021-03-09","0.00","0.0","45","61","36"
"USW00014739","BOSTON, MA US","2021-03-10","0.00","0.0","43","48","34"
"USW00014739","BOSTON, MA US","2021-03-11","0.00","0.0","50","74","36"
"USW00014739","BOSTON, MA US","2021-03-12","0.00","0.0","59","65","47"
"USW00014739","BOSTON, MA US","2021-03-13","0.00","0.0","44","49","32"
"USW00014739","BOSTON, MA US","2021-03-14","0.00","0.1","41","49","24"
"USW00014739","BOSTON, MA US","2021-03-15","0.00","0.0","24","30","17"
"USW00014739","BOSTON, MA US","2021-03-16","0.00","0.0","26","36","20"
"USW00014739","BOSTON, MA US","2021-03-17","0.00","0.0","40","53","31"
"USW00014739","BOSTON, MA US","2021-03-18","0.66","0.0","43","49","38"
"USW00014739","BOSTON, MA US","2021-03-19","0.00","0.0","39","44","31"
"USW00014739","BOSTON, MA US","2021-03-20","0.00","0.0","43","61","32"
"USW00014739","BOSTON, MA US","2021-03-21","0.00","0.0","48","58","36"
"USW00014739","BOSTON, MA US","2021-03-22","0.00","0.0","46","58","35"
"USW00014739","BOSTON, MA US","2021-03-23","0.00","0.0","48","57","38"
"USW00014739","BOSTON, MA US","2021-03-24","0.00","0.0","48","53","40"
"USW00014739","BOSTON, MA US","2021-03-25","0.15","0.0","51","62","46"
"USW00014739","BOSTON, MA US","2021-03-26","0.01","0.0","59","70","53"
"USW00014739","BOSTON, MA US","2021-03-27","0.00","0.0","53","59","43"
"USW00014739","BOSTON, MA US","2021-03-28","0.69","0.0","46","59","42"
"USW00014739","BOSTON, MA US","2021-03-29","0.00","0.0","51","54","42"
"USW00014739","BOSTON, MA US","2021-03-30","0.00","0.0","47","60","36"
"USW00014739","BOSTON, MA US","2021-03-31","0.20","0.0","56","70","44"
"USW00014739","BOSTON, MA US","2021-04-01","0.92","0.0","51","58","35"
"USW00014739","BOSTON, MA US","2021-04-02","0.00","0.0","35","41","29"
"USW00014739","BOSTON, MA US","2021-04-03","0.00","0.0","38","50","30"
"USW00014739","BOSTON, MA US","2021-04-04","0.00","0.0","47","62","33"
"USW00014739","BOSTON, MA US","2021-04-05","0.00","0.0","52","58","47"
"USW00014739","BOSTON, MA US","2021-04-06","0.00","0.0","52","61","46"
"USW00014739","BOSTON, MA US","2021-04-07","0.00","0.0","52","58","46"
"USW00014739","BOSTON, MA US","2021-04-08","0.00","0.0","53","56","45"
"USW00014739","BOSTON, MA US","2021-04-09","0.00","0.0","51","59","44"
"USW00014739","BOSTON, MA US","2021-04-10","0.00","0.0","59","78","48"
"USW00014739","BOSTON, MA US","2021-04-11","0.00","0.0","53","60","45"
"USW00014739","BOSTON, MA US","2021-04-12","0.00","0.0","47","51","43"
"USW00014739","BOSTON, MA US","2021-04-13","0.00","0.0","49","58","44"
"USW00014739","BOSTON, MA US","2021-04-14","0.00","0.0","49","51","46"
"USW00014739","BOSTON, MA US","2021-04-15","0.22","0.0","48","54","42"
"USW00014739","BOSTON, MA US","2021-04-16","1.60","0.1","42","45","35"
"USW00014739","BOSTON, MA US","2021-04-17","0.08","0.0","42","51","39"
"USW00014739","BOSTON, MA US","2021-04-18","0.00","0.0","51","63","44"
"USW00014739","BOSTON, MA US","2021-04-19","0.01","0.0","54","63","48"
"USW00014739","BOSTON, MA US","2021-04-20","0.00","0.0","62","76","51"
"USW00014739","BOSTON, MA US","2021-04-21","0.24","0.0","59","72","38"
"USW00014739","BOSTON, MA US","2021-04-22","0.00","0.0","42","47","34"
"USW00014739","BOSTON, MA US","2021-04-23","0.00","0.0","47","60","38"
"USW00014739","BOSTON, MA US","2021-04-24","0.00","0.0","61","74","50"
"USW00014739","BOSTON, MA US","2021-04-25","0.11","0.0","55","57","50"
"USW00014739","BOSTON, MA US","2021-04-26","0.00","0.0","52","57","47"
"USW00014739","BOSTON, MA US","2021-04-27","0.00","0.0","53","69","45"
"USW00014739","BOSTON, MA US","2021-04-28","0.22","0.0","56","60","49"
"USW00014739","BOSTON, MA US","2021-04-29","0.89","0.0","49","50","48"
"USW00014739","BOSTON, MA US","2021-04-30","0.15","0.0","55","65","43"
"USW00014739","BOSTON, MA US","2021-05-01","0.02","0.0","53","65","44"
"USW00014739","BOSTON, MA US","2021-05-02","0.01","0.0","62","77","50"
"USW00014739","BOSTON, MA US","2021-05-03","0.02","0.0","60","65","50"
"USW00014739","BOSTON, MA US","2021-05-04","0.67","0.0","50","55","48"
"USW00014739","BOSTON, MA US","2021-05-05","0.53","0.0","49","50","48"
"USW00014739","BOSTON, MA US","2021-05-06","0.00","0.0","56","67","50"
"USW00014739","BOSTON, MA US","2021-05-07","0.00","0.0","54","56","48"
"USW00014739","BOSTON, MA US","2021-05-08","0.00","0.0","50","55","46"
"USW00014739","BOSTON, MA US","2021-05-09","0.00","0.0","58","69","49"
"USW00014739","BOSTON, MA US","2021-05-10","0.34","0.0","55","63","49"
"USW00014739","BOSTON, MA US","2021-05-11","0.00","0.0","59","66","51"
"USW00014739","BOSTON, MA US","2021-05-12","0.00","0.0","57","69","48"
"USW00014739","BOSTON, MA US","2021-05-13","0.00","0.0","60","71","51"
"USW00014739","BOSTON, MA US","2021-05-14","0.00","0.0","65","77","56"
"USW00014739","BOSTON, MA US","2021-05-15","0.00","0.0","67","74","61"
"USW00014739","BOSTON, MA US","2021-05-16","0.01","0.0","68","79","58"
"USW00014739","BOSTON, MA US","2021-05-17","0.00","0.0","64","75","54"
"USW00014739","BOSTON, MA US","2021-05-18","0.00","0.0","71","84","59"
"USW00014739","BOSTON, MA US","2021-05-19","0.00","0.0","70","72","58"
"USW00014739","BOSTON, MA US","2021-05-20","0.00","0.0","63","69","55"
"USW00014739","BOSTON, MA US","2021-05-21","0.00","0.0","67","82","56"
"USW00014739","BOSTON, MA US","2021-05-22","0.00","0.0","73","89","62"
"USW00014739","BOSTON, MA US","2021-05-23","0.00","0.0","79","90","62"
"USW00014739","BOSTON, MA US","2021-05-24","0.00","0.0","63","67","55"
"USW00014739","BOSTON, MA US","2021-05-25","0.00","0.0","64","79","53"
"USW00014739","BOSTON, MA US","2021-05-26","0.28","0.0","74","92","63"
"USW00014739","BOSTON, MA US","2021-05-27","0.01","0.0","75","83","62"
"USW00014739","BOSTON, MA US","2021-05-28","1.08","0.0","59","62","45"
"USW00014739","BOSTON, MA US","2021-05-29","1.08","0.0","49","51","47"
"USW00014739","BOSTON, MA US","2021-05-30","0.72","0.0","51","51","50"
"USW00014739","BOSTON, MA US","2021-05-31","0.15","0.0","55","62","51"
"USW00014739","BOSTON, MA US","2021-06-01","0.00","0.0","65","77","54"
"USW00014739","BOSTON, MA US","2021-06-02","0.00","0.0","69","79","58"
"USW00014739","BOSTON, MA US","2021-06-03","0.00","0.0","67","76","60"
"USW00014739","BOSTON, MA US","2021-06-04","0.11","0.0","72","81","66"
"USW00014739","BOSTON, MA US","2021-06-05","0.00","0.0","77","91","63"
"USW00014739","BOSTON, MA US","2021-06-06","0.00","0.0","85","94","70"
"USW00014739","BOSTON, MA US","2021-06-07","0.00","0.0","85","96","73"
"USW00014739","BOSTON, MA US","2021-06-08","0.00","0.0","84","95","75"
"USW00014739","BOSTON, MA US","2021-06-09","0.05","0.0","81","92","74"
"USW00014739","BOSTON, MA US","2021-06-10","0.00","0.0","71","76","59"
"USW00014739","BOSTON, MA US","2021-06-11","0.12","0.0","62","66","57"
"USW00014739","BOSTON, MA US","2021-06-12","0.59","0.0","64","71","60"
"USW00014739","BOSTON, MA US","2021-06-13","0.00","0.0","72","85","62"
"USW00014739","BOSTON, MA US","2021-06-14","0.53","0.0","66","70","60"
"USW00014739","BOSTON, MA US","2021-06-15","0.01","0.0","67","73","62"
"USW00014739","BOSTON, MA US","2021-06-16","0.00","0.0","69","77","63"
"USW00014739","BOSTON, MA US","2021-06-17","0.00","0.0","71","80","60"
"USW00014739","BOSTON, MA US","2021-06-18","0.00","0.0","74","85","60"
"USW00014739","BOSTON, MA US","2021-06-19","0.00","0.0","78","91","69"
"USW00014739","BOSTON, MA US","2021-06-20","0.00","0.0","79","89","71"
"USW00014739","BOSTON, MA US","2021-06-21","0.00","0.0","78","87","69"
"USW00014739","BOSTON, MA US","2021-06-22","0.91","0.0","76","87","63"
"USW00014739","BOSTON, MA US","2021-06-23","0.00","0.0","66","75","59"
"USW00014739","BOSTON, MA US","2021-06-24","0.00","0.0","66","74","59"
"USW00014739","BOSTON, MA US","2021-06-25","0.09","0.0","64","70","61"
"USW00014739","BOSTON, MA US","2021-06-26","0.00","0.0","74","86","66"
"USW00014739","BOSTON, MA US","2021-06-27","0.00","0.0","81","89","74"
"USW00014739","BOSTON, MA US","2021-06-28","0.00","0.0","85","97","75"
"USW00014739","BOSTON, MA US","2021-06-29","0.00","0.0","89","99","79"
"USW00014739","BOSTON, MA US","2021-06-30","0.16","0.0","88","100","72"
"USW00014739","BOSTON, MA US","2021-07-01","1.28","0.0","78","85","68"
